Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
956,3126.75,3.52
957,3130.48,3.73
958,3133.75,3.27
959,3137.2,3.45
960,3140.62,3.42
961,3143.02,2.4
962,3145.87,2.85
963,3148.27,2.4
964,3151.06,2.79
965,3153.56,2.5
966,3156.28,2.72
967,3159.62,3.34
968,3162.52,2.9
969,3166.22,3.7
970,3168.81,2.59
971,3171.64,2.83
972,3174.3,2.66
973,3177.14,2.84
974,3180.25,3.11
975,3183.58,3.33
976,3186.16,2.58
977,3188.87,2.71
978,3192.42,3.55
979,3195.52,3.1
980,3198.25,2.73
981,3201.58,3.33
982,3204.08,2.5
983,3206.83,2.75
984,3210.22,3.39
985,3213,2.78
986,3215.58,2.58
987,3217.81,2.23
988,3220.8,2.99
989,3223.92,3.12
990,3226.8,2.88
991,3229.91,3.11
992,3232.56,2.65
993,3235.27,2.71
994,3238.22,2.95
995,3241.08,2.86
996,3244.05,2.97
997,3247.87,3.82
998,3252.7,4.83
999,3255.42,2.72
1000,3257.86,2.44
1001,3260.67,2.81
1002,3263,2.33
1003,3266.19,3.19
1004,3268.69,2.5
1005,3271.92,3.23
1006,3275.72,3.8
1007,3278.16,2.44
1008,3281.87,3.71
1009,3285.52,3.65
1010,3288.56,3.04
1011,3291.84,3.28
1012,3294.09,2.25
1013,3296.62,2.53
1014,3299.47,2.85
1015,3302.08,2.61
1016,3304.53,2.45
1017,3307.47,2.94
1018,3309.94,2.47
1019,3313.23,3.29
1020,3316.19,2.96
1021,3319.11,2.92
1022,3321.98,2.87
1023,3324.86,2.88
1024,3327.77,2.91
1025,3330.67,2.9
1026,3333.94,3.27
1027,3336.69,2.75
1028,3339.42,2.73
1029,3341.95,2.53
1030,3344.78,2.83
1031,3347.8,3.02
1032,3350.34,2.54
1033,3352.69,2.35
1034,3355.87,3.18
1035,3358.06,2.19
1036,3361.06,3
1037,3363.59,2.53
1038,3365.91,2.32
1039,3368.73,2.82
1040,3371.58,2.85
1041,3381.39,9.81
1042,3384.7,3.31
1043,3388.58,3.88
1044,3391.45,2.87
1045,3394.08,2.63
1046,3397.02,2.94
1047,3399.58,2.56
1048,3402.61,3.03
1049,3405.66,3.05
1050,3409.11,3.45
1051,3412.31,3.2
1052,3415.03,2.72
1053,3417.5,2.47
1054,3420.2,2.7
1055,3422.89,2.69
1056,3425.55,2.66
1057,3428.25,2.7
1058,3431.52,3.27
1059,3434.55,3.03
1060,3437.31,2.76
1061,3440.78,3.47
1062,3443.08,2.3
1063,3446.09,3.01
1064,3449.75,3.66
1065,3453.28,3.53
1066,3456.08,2.8
1067,3458.73,2.65
